Date,Cash,Accounts Receivable,Inventory,Current Liabilities,Current Assets
2012-07-28,"$140437","$19703","$9948","-$88322","$81767"
2012-07-29,"$142408","$17732","$9948","-$88322","$81767"
2012-07-30,"$144182","$15958","$9948","-$88322","$81767"
2012-07-31,"$139262","$14362","$9948","-$81806","$81767"
2012-08-01,"$141276","$18121","$7062","-$81806","$84653"
2012-08-02,"$143089","$16308","$7062","-$84806","$81653"
2012-08-03,"$145023","$17399","$5549","-$84806","$83166"
2012-08-04,"$146763","$15659","$8503","-$87760","$83166"
2012-08-05,"$148964","$19802","$5331","-$87760","$86338"
2012-08-06,"$122039","$17821","$7565","-$83588","$63838"
2012-08-07,"$123822","$16038","$7565","-$83588","$63838"
2012-08-08,"$126248","$21829","$3457","-$83514","$68020"
2012-08-09,"$128431","$19646","$10264","-$90321","$68020"
2012-08-10,"$130396","$17681","$10264","-$90321","$68020"
2012-08-11,"$122800","$15912","$10264","-$80956","$68020"
2012-08-12,"$124392","$14320","$10264","-$80956","$68020"
2012-08-13,"$125824","$12888","$10264","-$80956","$68020"
2012-08-14,"$129163","$30051","$13","-$80956","$78271"
2012-08-15,"$132842","$33104","$1072","-$85381","$81637"
2012-08-16,"$106996","$29793","$5703","-$83355","$59137"
2012-08-17,"$111693","$42265","$3360","-$89597","$67721"
2012-08-18,"$115920","$38038","$10214","-$96451","$67721"
2012-08-19,"$119724","$34234","$10214","-$96451","$67721"
2012-08-20,"$123148","$30810","$10214","-$96451","$67721"
2012-08-21,"$119035","$27729","$10214","-$89257","$67721"
2012-08-22,"$121808","$24956","$10214","-$89257","$67721"
2012-08-23,"$124304","$22460","$10214","-$89257","$67721"
2012-08-24,"$127189","$25963","$7020","-$89257","$70915"
2012-08-25,"$131002","$34315","$938","-$89257","$76998"
2012-08-26,"$127561","$30883","$4279","-$85725","$76998"
2012-08-27,"$130650","$27794","$8941","-$90387","$76998"
2012-08-28,"$133430","$25014","$8941","-$90387","$76998"
2012-08-29,"$135932","$22512","$8941","-$90387","$76998"
2012-08-30,"$138184","$20260","$8941","-$90387","$76998"
2012-08-31,"$133522","$18234","$8941","-$83699","$76998"
2012-09-01,"$136822","$29692","$1562","-$83699","$84377"
2012-09-02,"$139792","$26722","$6507","-$91644","$81377"
2012-09-03,"$142465","$24049","$10780","-$95917","$81377"
2012-09-04,"$145281","$25339","$8727","-$95917","$83430"
2012-09-05,"$147815","$22805","$8727","-$95917","$83430"
2012-09-06,"$120697","$20524","$8727","-$89018","$60930"
2012-09-07,"$123840","$28285","$3275","-$89018","$66382"
2012-09-08,"$126669","$25456","$10150","-$95949","$66326"
2012-09-09,"$129406","$24631","$9194","-$95949","$67282"
2012-09-10,"$131870","$22167","$9194","-$95949","$67282"
2012-09-11,"$124134","$19950","$9194","-$85996","$67282"
2012-09-12,"$127055","$26280","$4568","-$85996","$71907"
2012-09-13,"$129683","$23652","$11383","-$92811","$71907"
2012-09-14,"$132049","$21286","$11383","-$92811","$71907"
2012-09-15,"$134738","$24194","$8585","-$92811","$74706"
2012-09-16,"$107768","$21774","$8585","-$85921","$52206"
2012-09-17,"$109946","$19596","$8585","-$85921","$52206"
2012-09-18,"$111906","$17636","$8585","-$85921","$52206"
2012-09-19,"$113670","$15872","$8585","-$85921","$52206"
2012-09-20,"$116831","$28442","$719","-$85921","$60071"
2012-09-21,"$112809","$25597","$7324","-$85659","$60071"
2012-09-22,"$115369","$23037","$7324","-$85659","$60071"
2012-09-23,"$117673","$20733","$7324","-$85659","$60071"
2012-09-24,"$119747","$18659","$7324","-$85659","$60071"
2012-09-25,"$121613","$16793","$7324","-$85659","$60071"
2012-09-26,"$117275","$17601","$5942","-$79365","$61453"
2012-09-27,"$119036","$15840","$9241","-$82664","$61453"
2012-09-28,"$122235","$28788","$1168","-$82664","$69527"
2012-09-29,"$125536","$29705","$1494","-$85099","$71636"
2012-09-30,"$128507","$26734","$7755","-$91360","$71636"
2012-10-01,"$124412","$24060","$7755","-$84591","$71636"
2012-10-02,"$126933","$22685","$7182","-$87591","$69209"
2012-10-03,"$129202","$20416","$7182","-$87591","$69209"
2012-10-04,"$131244","$18374","$7182","-$87591","$69209"
2012-10-05,"$133390","$19309","$5641","-$87591","$70749"
2012-10-06,"$106927","$22371","$5796","-$84071","$51023"
2012-10-07,"$109165","$20133","$12442","-$90717","$51023"
2012-10-08,"$111179","$18119","$12442","-$90887","$50853"
2012-10-09,"$112991","$16307","$12442","-$90887","$50853"
2012-10-10,"$114675","$15152","$12178","-$90887","$51117"
2012-10-11,"$107537","$22489","$7260","-$81251","$56035"
2012-10-12,"$109786","$20240","$7260","-$81251","$56035"
2012-10-13,"$111810","$18216","$7260","-$81251","$56035"
2012-10-14,"$113632","$16394","$7260","-$81251","$56035"
2012-10-15,"$115272","$14754","$7260","-$81251","$56035"
2012-10-16,"$88321","$13278","$7260","-$75324","$33535"
2012-10-17,"$90423","$18911","$3392","-$75324","$37403"
2012-10-18,"$92782","$21228","$3989","-$78259","$39741"
2012-10-19,"$94905","$19105","$8543","-$82813","$39741"
2012-10-20,"$96816","$17194","$8543","-$82813","$39741"
2012-10-21,"$93580","$25384","$3038","-$76756","$45246"
2012-10-22,"$97219","$32743","$102","-$79319","$50745"
2012-10-23,"$100494","$29468","$2367","-$81584","$50745"
2012-10-24,"$103441","$26521","$9075","-$88292","$50745"
2012-10-25,"$106094","$23868","$9075","-$88292","$50745"
2012-10-26,"$101967","$21481","$9075","-$81778","$50745"
2012-10-27,"$104116","$19332","$9075","-$81778","$50745"
2012-10-28,"$106928","$25305","$4682","-$81778","$55138"
2012-10-29,"$109459","$22774","$10227","-$87323","$55138"
2012-10-30,"$111737","$20496","$10227","-$87323","$55138"
2012-10-31,"$107354","$18446","$10227","-$80890","$55138"
2012-11-01,"$110618","$29369","$3134","-$80890","$62231"
2012-11-02,"$114037","$30771","$7622","-$90789","$61642"
2012-11-03,"$118009","$35744","$3150","-$90789","$66114"
2012-11-04,"$121584","$32169","$6456","-$94095","$66114"
2012-11-05,"$124801","$28952","$11864","-$99503","$66114"
2012-11-06,"$100270","$46495","$509","-$92305","$54969"
2012-11-07,"$104920","$41845","$6229","-$98025","$54969"
2012-11-08,"$110009","$45796","$5658","-$102213","$59250"
2012-11-09,"$114589","$41216","$7787","-$104342","$59250"
2012-11-10,"$118913","$38911","$6777","-$104342","$60260"
2012-11-11,"$111998","$38529","$9340","-$97658","$62209"
2012-11-12,"$116899","$44101","$4103","-$97658","$67446"
2012-11-13,"$121310","$39690","$6437","-$99992","$67446"
2012-11-14,"$125279","$35721","$8457","-$102012","$67446"
2012-11-15,"$130020","$42667","$2614","-$102012","$73289"
2012-11-16,"$103797","$38400","$6613","-$98021","$50789"
2012-11-17,"$108347","$40944","$5595","-$100550","$54336"
2012-11-18,"$113675","$47946","$2347","-$103467","$60501"
2012-11-19,"$118908","$47096","$5620","-$108932","$62693"
2012-11-20,"$123692","$43053","$11946","-$115628","$63063"
2012-11-21,"$121347","$58014","$1242","-$106836","$73767"
2012-11-22,"$127149","$52212","$7071","-$112665","$73767"
2012-11-23,"$132371","$46990","$7071","-$112665","$73767"
2012-11-24,"$137070","$42291","$7071","-$112665","$73767"
2012-11-25,"$141300","$38061","$7071","-$112665","$73767"
2012-11-26,"$137147","$39519","$4146","-$104120","$76692"
2012-11-27,"$142659","$49601","$2009","-$109780","$84489"
2012-11-28,"$148560","$53104","$3694","-$116167","$89191"
2012-11-29,"$153871","$47793","$5974","-$118447","$89191"
2012-11-30,"$158651","$43013","$9302","-$121775","$89191"
2012-12-01,"$153649","$38711","$9302","-$112471","$89191"
2012-12-02,"$157521","$34839","$9302","-$115471","$86191"
2012-12-03,"$161005","$31355","$9302","-$115471","$86191"
2012-12-04,"$164431","$30834","$7849","-$115471","$87644"
2012-12-05,"$167515","$27750","$7849","-$115471","$87644"
2012-12-06,"$139261","$24975","$7849","-$106942","$65144"
2012-12-07,"$141759","$22477","$7849","-$106942","$65144"
2012-12-08,"$144007","$20229","$7849","-$107185","$64900"
2012-12-09,"$146030","$18206","$7849","-$107185","$64900"
2012-12-10,"$147851","$16385","$7849","-$107185","$64900"
2012-12-11,"$138429","$14746","$7849","-$96124","$64900"
2012-12-12,"$139904","$13271","$7849","-$96124","$64900"
2012-12-13,"$142346","$21976","$2276","-$96124","$70474"
2012-12-14,"$144544","$19778","$7601","-$101449","$70474"
2012-12-15,"$146522","$17800","$7601","-$101449","$70474"
2012-12-16,"$118192","$16020","$7601","-$93839","$47974"
2012-12-17,"$119874","$15135","$7202","-$93839","$48372"
2012-12-18,"$121388","$13621","$7202","-$93839","$48372"
2012-12-19,"$122751","$12258","$7202","-$93839","$48372"
2012-12-20,"$124602","$16659","$4076","-$93839","$51498"
2012-12-21,"$118742","$14993","$10677","-$92914","$51498"
2012-12-22,"$120242","$13493","$10677","-$92914","$51498"
2012-12-23,"$122602","$21238","$5625","-$92914","$56551"
2012-12-24,"$124726","$19114","$11113","-$98402","$56551"
2012-12-25,"$126638","$17202","$11113","-$98402","$56551"
2012-12-26,"$122823","$31866","$2010","-$91046","$65653"
2012-12-27,"$126269","$31013","$6437","-$96769","$66950"
2012-12-28,"$130443","$37561","$4746","-$100439","$72311"
2012-12-29,"$134200","$33804","$9036","-$104729","$72311"
2012-12-30,"$137581","$30423","$9036","-$104729","$72311"
2012-12-31,"$132740","$27380","$9036","-$96845","$72311"
2013-01-01,"$137102","$39249","$920","-$96845","$80426"
2013-01-02,"$141027","$35324","$6100","-$105025","$77426"
2013-01-03,"$145283","$38303","$4911","-$107453","$81044"
2013-01-04,"$149704","$39782","$4594","-$110086","$83994"
2013-01-05,"$153683","$35803","$10467","-$115959","$83994"
2013-01-06,"$126195","$32222","$10467","-$107390","$61494"
2013-01-07,"$130358","$37465","$5764","-$107390","$66197"
2013-01-08,"$134105","$33718","$11834","-$113642","$66014"
2013-01-09,"$137477","$30346","$11834","-$113642","$66014"
2013-01-10,"$140512","$27311","$11834","-$113642","$66014"
2013-01-11,"$131700","$24579","$11834","-$102099","$66014"
2013-01-12,"$134158","$22121","$11834","-$102099","$66014"
2013-01-13,"$136371","$19908","$11834","-$102099","$66014"
2013-01-14,"$138704","$20992","$10125","-$102099","$67722"
2013-01-15,"$140804","$18892","$10125","-$102099","$67722"
2013-01-16,"$112530","$17002","$10125","-$94435","$45222"
2013-01-17,"$114375","$16602","$9403","-$94435","$45945"
2013-01-18,"$116036","$14941","$9403","-$94435","$45945"
2013-01-19,"$117531","$13446","$9403","-$94435","$45945"
2013-01-20,"$119925","$21544","$4157","-$94435","$51191"
2013-01-21,"$114569","$19389","$9977","-$92744","$51191"
2013-01-22,"$116508","$17450","$9977","-$92744","$51191"
2013-01-23,"$118253","$15705","$9977","-$92744","$51191"
2013-01-24,"$119824","$14134","$9977","-$92744","$51191"
2013-01-25,"$121980","$19399","$6266","-$92744","$54901"
2013-01-26,"$116856","$17888","$8754","-$88358","$55140"
2013-01-27,"$119973","$28046","$2116","-$88358","$61777"
2013-01-28,"$122893","$26271","$5412","-$92226","$62350"
2013-01-29,"$126156","$29367","$5251","-$95245","$65529"
2013-01-30,"$129093","$26430","$9161","-$99155","$65529"
2013-01-31,"$124317","$23787","$9161","-$91736","$65529"
2013-02-01,"$126696","$21408","$9161","-$91736","$65529"
2013-02-02,"$128837","$19267","$9161","-$94736","$62529"
2013-02-03,"$131248","$21694","$6742","-$94736","$64948"
2013-02-04,"$133418","$19524","$10079","-$98073","$64948"
2013-02-05,"$135373","$17592","$10068","-$98073","$64960"
2013-02-06,"$108318","$22709","$6247","-$90994","$46280"
2013-02-07,"$110589","$20438","$9462","-$94209","$46280"
2013-02-08,"$112633","$18394","$9462","-$94282","$46207"
2013-02-09,"$114473","$16554","$9462","-$94282","$46207"
2013-02-10,"$117657","$28656","$1819","-$94282","$53850"
2013-02-11,"$110493","$25790","$4203","-$86637","$53850"
2013-02-12,"$113072","$23211","$9222","-$91656","$53850"
2013-02-13,"$115394","$20889","$9222","-$91656","$53850"
2013-02-14,"$119254","$34739","$367","-$91656","$62705"
2013-02-15,"$123658","$39630","$1151","-$97087","$67352"
2013-02-16,"$97661","$35667","$3710","-$92186","$44852"
2013-02-17,"$101228","$32100","$6550","-$95026","$44852"
2013-02-18,"$104438","$28890","$11658","-$100134","$44852"
2013-02-19,"$107327","$26001","$11658","-$100134","$44852"
2013-02-20,"$109928","$23400","$11658","-$100134","$44852"
2013-02-21,"$106618","$37715","$2405","-$92633","$54105"
2013-02-22,"$110390","$33943","$6526","-$96754","$54105"
2013-02-23,"$113785","$30548","$9999","-$100227","$54105"
2013-02-24,"$116840","$27493","$9999","-$100227","$54105"
2013-02-25,"$121134","$38644","$2276","-$100227","$61828"
2013-02-26,"$118135","$42214","$323","-$94714","$65958"
2013-02-27,"$122357","$37992","$4601","-$98992","$65958"
2013-02-28,"$126711","$39179","$4880","-$102042","$68729"
2013-03-01,"$130629","$35261","$11441","-$108603","$68729"
2013-03-02,"$134619","$35909","$9122","-$111603","$68048"
2013-03-03,"$138790","$37530","$6226","-$111603","$70944"
2013-03-04,"$142543","$33777","$11363","-$116740","$70944"
2013-03-05,"$145921","$30399","$11363","-$116740","$70944"
2013-03-06,"$117827","$27359","$11363","-$108106","$48444"
2013-03-07,"$120563","$24623","$11363","-$108106","$48444"
2013-03-08,"$123026","$22160","$11363","-$108049","$48500"
2013-03-09,"$125932","$26152","$7914","-$108049","$51949"
2013-03-10,"$129398","$31185","$3665","-$108049","$56198"
2013-03-11,"$121135","$28066","$9941","-$102944","$56198"
2013-03-12,"$123942","$25259","$9941","-$102944","$56198"
2013-03-13,"$126468","$22733","$9941","-$102944","$56198"
2013-03-14,"$128742","$20459","$9941","-$102944","$56198"
2013-03-15,"$130788","$18413","$9941","-$102944","$56198"
2013-03-16,"$102395","$16571","$9941","-$95209","$33698"
2013-03-17,"$105229","$25503","$4058","-$95209","$39581"
2013-03-18,"$107897","$24010","$7023","-$98762","$40169"
2013-03-19,"$110591","$24242","$5560","-$98762","$41632"
2013-03-20,"$113016","$21817","$8505","-$101707","$41632"
2013-03-21,"$107566","$19635","$8505","-$94075","$41632"
2013-03-22,"$110861","$29654","$1848","-$94075","$48289"
2013-03-23,"$113827","$26688","$5431","-$97658","$48289"
2013-03-24,"$116496","$24019","$11824","-$104051","$48289"
2013-03-25,"$120859","$39258","$2023","-$104051","$58090"
2013-03-26,"$116739","$35332","$4653","-$98635","$58090"
2013-03-27,"$121374","$41707","$2029","-$101516","$63595"
2013-03-28,"$126414","$45360","$3848","-$107681","$67941"
2013-03-29,"$131307","$44028","$6315","-$111929","$69722"
2013-03-30,"$135710","$39625","$8428","-$114042","$69722"
2013-03-31,"$131463","$39712","$6178","-$105382","$71972"
2013-04-01,"$136639","$46581","$2297","-$107523","$77994"
2013-04-02,"$141610","$44734","$6144","-$115932","$76556"
2013-04-03,"$147144","$49805","$4785","-$119876","$81859"
2013-04-04,"$153834","$60202","$1891","-$125525","$90402"
2013-04-05,"$159855","$54181","$4954","-$128588","$90402"
2013-04-06,"$132766","$48762","$9592","-$123218","$67902"
2013-04-07,"$138053","$47580","$7539","-$123218","$69955"
2013-04-08,"$144265","$55905","$271","-$123047","$77394"
2013-04-09,"$151224","$62627","$177","-$129794","$84234"
2013-04-10,"$158482","$65318","$1353","-$135944","$89209"
2013-04-11,"$152731","$69799","$378","-$127581","$95327"
2013-04-12,"$160959","$74044","$852","-$134291","$101564"
2013-04-13,"$168364","$66639","$7035","-$140474","$101564"
2013-04-14,"$175028","$59975","$7035","-$140474","$101564"
2013-04-15,"$181606","$59201","$4133","-$140474","$104466"
2013-04-16,"$155371","$67474","$697","-$133691","$89851"
2013-04-17,"$162119","$60726","$6580","-$139574","$89851"
2013-04-18,"$168192","$54653","$8629","-$141623","$89851"
2013-04-19,"$175206","$63123","$887","-$141623","$97593"
2013-04-20,"$182873","$68995","$321","-$147826","$104363"
2013-04-21,"$178069","$62095","$3066","-$138867","$104363"
2013-04-22,"$184339","$56429","$6240","-$142343","$104665"
2013-04-23,"$189982","$50786","$11962","-$148065","$104665"
2013-04-24,"$195061","$45707","$11962","-$148065","$104665"
2013-04-25,"$199632","$41136","$11962","-$148065","$104665"
2013-04-26,"$193317","$46619","$6630","-$136570","$109996"
2013-04-27,"$197979","$41957","$13119","-$143059","$109996"
2013-04-28,"$202175","$37761","$13119","-$143059","$109996"
2013-04-29,"$205952","$33984","$13119","-$143059","$109996"
2013-04-30,"$209351","$30585","$13119","-$143059","$109996"
2013-05-01,"$201332","$27526","$13119","-$131981","$109996"
2013-05-02,"$204085","$24773","$13119","-$134981","$106996"
2013-05-03,"$206563","$22295","$13119","-$134981","$106996"
2013-05-04,"$208793","$20065","$13119","-$134981","$106996"
2013-05-05,"$210800","$18058","$13119","-$134981","$106996"
2013-05-06,"$179951","$16252","$13119","-$124826","$84496"
2013-05-07,"$181577","$14626","$13119","-$124826","$84496"
2013-05-08,"$185294","$33451","$1848","-$124586","$96006"
2013-05-09,"$190183","$44001","$950","-$131407","$103726"
2013-05-10,"$195537","$48186","$503","-$135730","$108495"
2013-05-11,"$186819","$43367","$6975","-$128666","$108495"
2013-05-12,"$191739","$44273","$6438","-$131042","$111408"
2013-05-13,"$196167","$39845","$13127","-$137731","$111408"
2013-05-14,"$200355","$37691","$12110","-$137731","$112425"
2013-05-15,"$205849","$49441","$3488","-$137731","$121047"
2013-05-16,"$178144","$50531","$2372","-$129147","$101900"
2013-05-17,"$184101","$53608","$1634","-$132926","$106417"
2013-05-18,"$189920","$52370","$1369","-$134952","$108707"
2013-05-19,"$195832","$53199","$505","-$137458","$112078"
2013-05-20,"$201152","$47879","$3495","-$140448","$112078"
2013-05-21,"$195510","$48483","$2538","-$131457","$115074"
2013-05-22,"$200359","$43634","$8298","-$137217","$115074"
2013-05-23,"$204723","$39270","$8298","-$137217","$115074"
2013-05-24,"$208650","$35343","$8298","-$137217","$115074"
2013-05-25,"$212297","$32823","$7734","-$137217","$115637"
2013-05-26,"$205711","$36041","$4123","-$126626","$119249"
2013-05-27,"$209316","$32436","$8675","-$131178","$119249"
2013-05-28,"$212560","$29192","$8675","-$131178","$119249"
2013-05-29,"$216065","$31539","$5749","-$131178","$122175"
2013-05-30,"$220329","$38367","$6000","-$136975","$127721"
2013-05-31,"$214600","$48068","$4469","-$131895","$135242"
2013-06-01,"$219407","$43261","$7514","-$134940","$135242"
2013-06-02,"$224198","$43117","$5190","-$137940","$134565"
2013-06-03,"$228510","$38805","$7763","-$140513","$134565"
2013-06-04,"$233292","$43035","$3257","-$140513","$139071"
2013-06-05,"$237596","$38731","$5763","-$143019","$139071"
2013-06-06,"$208192","$38618","$8121","-$136271","$118660"
2013-06-07,"$212054","$34756","$8121","-$136271","$118660"
2013-06-08,"$215530","$31280","$8121","-$136027","$118904"
2013-06-09,"$218658","$28152","$8121","-$136027","$118904"
2013-06-10,"$221474","$25336","$8121","-$136027","$118904"
2013-06-11,"$211643","$28677","$4857","-$123009","$122168"
2013-06-12,"$214511","$25809","$8448","-$126600","$122168"
2013-06-13,"$218066","$31995","$3578","-$126600","$127039"
2013-06-14,"$222193","$37143","$2774","-$130434","$131676"
2013-06-15,"$227053","$43734","$3069","-$136454","$137402"
2013-06-16,"$199246","$50602","$1655","-$130356","$121147"
2013-06-17,"$204307","$45541","$6269","-$134970","$121147"
2013-06-18,"$208972","$41985","$8062","-$137317","$121702"
2013-06-19,"$213472","$40498","$6555","-$137317","$123208"
2013-06-20,"$217522","$36448","$9092","-$139854","$123208"
2013-06-21,"$210356","$32803","$9092","-$129043","$123208"
2013-06-22,"$213637","$29522","$9092","-$129043","$123208"
2013-06-23,"$216590","$26569","$9092","-$129043","$123208"
2013-06-24,"$220043","$31072","$5114","-$129043","$127186"
2013-06-25,"$224758","$42429","$1816","-$133781","$135222"
2013-06-26,"$218330","$38186","$6213","-$127507","$135222"
2013-06-27,"$222149","$34367","$11066","-$132360","$135222"
2013-06-28,"$225586","$30930","$11066","-$132360","$135222"
2013-06-29,"$228679","$27837","$11066","-$132360","$135222"
2013-06-30,"$232753","$36665","$4615","-$132360","$141673"
2013-07-01,"$225709","$32998","$10914","-$127948","$141673"
2013-07-02,"$229009","$29698","$10914","-$130948","$138673"
2013-07-03,"$231979","$26728","$10914","-$130948","$138673"
2013-07-04,"$234652","$24055","$10914","-$130948","$138673"
2013-07-05,"$237058","$21649","$10914","-$130948","$138673"
2013-07-06,"$206905","$19484","$10914","-$121130","$116173"
2013-07-07,"$210798","$35035","$1192","-$121130","$125895"
2013-07-08,"$214302","$31531","$4482","-$124237","$126078"
2013-07-09,"$217456","$28377","$10957","-$130712","$126078"
2013-07-10,"$220294","$25539","$10957","-$130712","$126078"
2013-07-11,"$210216","$22985","$10957","-$118081","$126078"
